Frameworks/Interference,1.0,1.0,1.0,1.0,1.0,1.05,1.05,1.05,1.05,1.05,1.1,1.1,1.1,1.1,1.1,1.15,1.15,1.15,1.15,1.15,1.2,1.2,1.2,1.2,1.2,1.25,1.25,1.25,1.25,1.25,1.3,1.3,1.3,1.3,1.3,1.35,1.35,1.35,1.35,1.35,1.4,1.4,1.4,1.4,1.4,1.45,1.45,1.45,1.45,1.45,1.5,1.5,1.5,1.5,1.5
MPI+OpenMP (24 Threads per Node),13.035880,13.094480,13.331091,13.109208,13.047290,13.882045,13.789349,14.555188,13.755372,13.744645,14.723999,14.962868,15.373580,14.819505,15.868498,15.124135,15.156585,15.648948,15.207779,16.156115,15.792130,15.901327,17.000138,15.961774,17.572525,16.866713,17.051782,17.976055,16.889090,18.346234,18.662998,19.045409,18.288516,18.254045,19.107299,19.957268,21.234719,20.964186,21.253829,20.052428,22.096997,22.537504,21.866271,22.996330,21.692315,22.731273,23.995519,22.710049,24.025237,23.498911,23.452520,24.661444,23.391609,24.325000,24.055692
Chameleon (22 Threads per Node),12.649786,12.655791,12.913979,12.685551,12.645364,13.331783,13.327443,13.297866,13.320656,13.189702,14.449440,14.437526,14.616263,14.336927,14.601493,14.572379,14.418040,14.631539,14.364539,14.521257,14.962447,15.021839,15.190049,15.003735,15.042487,16.492093,16.667576,16.828709,16.788391,16.532767,17.545856,17.445732,18.234424,17.878170,17.897431,19.315804,19.501497,19.464919,19.127772,19.235629,21.320566,21.552441,21.339810,21.380595,21.152715,21.516699,21.154907,21.327378,21.139487,21.997270,23.341886,23.894969,23.326906,23.587446,23.849540
Charm++ (24 Processors per Node),12.595889,12.560911,12.825479,12.511730,12.490250,13.202063,13.582586,13.373352,13.392282,13.159831,14.150478,14.174628,14.496548,14.391748,14.476859,14.581547,14.595376,14.973502,15.019171,14.861901,15.178004,15.282979,15.688822,15.401064,15.219385,16.372056,16.627847,16.044454,16.195202,16.261988,17.362202,17.198890,17.213669,17.008550,16.936264,18.236057,18.590825,17.988487,17.937256,18.083857,19.850523,19.963853,19.874064,19.718376,19.742618,20.202382,20.571106,20.435464,20.410617,20.088256,20.689913,21.303807,20.904691,20.732382,21.056221
