Frameworks/Interference,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.15,0.15,0.15,0.15,0.15,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.3,0.35,0.35,0.35,0.35,0.35,0.4,0.4,0.4,0.4,0.4,0.45,0.45,0.45,0.45,0.45,0.5,0.5,0.5,0.5,0.5
MPI+OpenMP (24 Threads per Node),13.041544,13.006991,13.044615,13.912729,13.034986,14.024387,13.764226,14.173249,14.531996,14.072867,14.942963,14.769094,14.752535,15.815461,14.908779,15.638632,15.204803,15.163406,16.483343,15.201476,16.161911,15.879261,16.367586,17.332380,16.750942,17.333646,17.730971,17.380154,17.641112,17.587385,18.597412,18.938252,20.632236,18.651578,19.241373,21.252470,21.381191,22.107679,20.970421,22.186220,23.169270,22.659163,24.014670,22.862749,22.272349,24.514523,23.986690,26.262745,25.639893,23.942776,23.993054,25.771833,26.180217,25.861107,25.812776
Chameleon (22 Threads per Node),12.722258,12.683859,12.803658,12.815066,12.818258,13.192625,13.336050,13.218761,13.542007,13.178542,14.393945,14.218324,14.473888,14.368378,14.324749,14.326653,14.202966,14.761413,14.774264,14.489092,14.940299,14.951225,15.581942,15.429858,14.930184,16.987552,17.012685,17.362161,17.118681,17.090368,18.937632,18.291427,19.218351,18.586311,18.856245,20.503636,19.938916,20.906176,20.501645,21.257111,22.136876,22.004252,22.614622,22.239248,22.660916,23.575081,23.586158,22.889598,22.877990,24.103856,25.013809,24.170099,23.873539,24.017349,25.183593
Charm++ (24 Processors per Node),12.489004,12.515992,12.576533,13.006083,12.618181,13.201253,13.208871,13.577847,13.357031,13.228923,14.230018,14.484528,14.719217,14.179602,14.193344,14.870256,14.975445,14.937840,15.053960,14.811372,15.305509,15.410258,16.019746,15.368502,16.394297,16.361623,16.555762,16.878994,16.888857,16.891201,17.459867,17.270607,17.527192,17.108894,17.654098,18.514390,18.682528,19.105762,18.552689,19.324283,20.284375,20.182021,20.216114,20.264783,20.244628,20.141706,20.654694,20.863579,20.528768,21.218150,21.073813,21.268506,21.245828,21.321707,20.863334
