Frameworks/#Nodes,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,8,8,8,8,8
MPI+OpenMP (24 Threads per Node),26.069216,27.006766,26.314567,26.687195,26.063011,12.900912,13.136929,14.135030,13.446837,12.896005,7.129237,6.825269,6.954417,6.800766,7.364813,3.399100,3.287899,3.778926,3.435550,3.463105
Chameleon (22 Threads per Node),27.701709,27.945310,27.893649,27.668393,27.933318,14.298997,14.357014,14.733666,14.577167,14.294575,7.667476,7.577835,7.572687,7.962317,8.295576,4.044650,3.976360,4.113428,3.971331,3.982010
Charm++ (24 Processors per Node),27.800055,28.073903,28.199506,27.514653,28.118759,14.155468,14.918582,14.973010,14.360961,14.651067,7.126445,7.100931,7.277848,7.775950,8.340208,4.356753,4.067438,4.134237,4.553213,4.544713
